City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,sitka,57.0531,-135.33,7.94,61,75,8.23,US,1673993089
122,tasiilaq,65.6145,-37.6368,-9.91,85,100,5.03,GL,1673992943
123,hasaki,35.7333,140.8333,4.05,87,90,5.81,JP,1673993090
124,camacha,33.0833,-16.3333,14.68,88,40,6.69,PT,1673993091
125,caruaru,-8.2833,-35.9761,22.05,81,100,3.28,BR,1673993092
126,hay river,60.8156,-115.7999,-11.69,97,64,1.92,CA,1673993093
127,ayna,-12.65,-73.9167,21.41,64,92,1.83,PE,1673993094
128,clyde river,70.4692,-68.5914,-30.47,99,86,0.78,CA,1673993095
129,kruisfontein,-34.0033,24.7314,23.27,90,100,3.01,ZA,1673993096
130,vieksniai,56.2333,22.5167,1.75,91,100,4.17,LT,1673993097
131,irkutsk,52.2978,104.2964,-12.57,85,75,1.0,RU,1673993098
132,alcaniz,41.05,-0.1333,6.28,57,66,11.78,ES,1673992510
133,axim,4.8699,-2.2405,26.56,83,35,3.46,GH,1673993101
134,sabang,5.8933,95.3214,26.36,68,100,5.45,ID,1673993102
135,payo,-3.7508,103.6372,21.9,98,100,0.96,ID,1673993103
136,naantali,60.4674,22.0243,1.73,100,100,5.14,FI,1673993104
137,lac du bonnet,50.2536,-96.0612,-8.37,92,100,2.53,CA,1673992816
138,kovin,44.7475,20.9761,13.83,66,100,8.63,RS,1673993068
139,riyadh,24.6877,46.7219,10.08,79,0,5.77,SA,1673993086
140,opuwo,-18.0607,13.84,21.24,71,98,3.2,NA,1673993109
141,pisco,-13.7,-76.2167,25.03,65,0,8.23,PE,1673993109
142,praia,14.9215,-23.5087,23.3,78,75,10.29,CV,1673993111
143,kaitangata,-46.2817,169.8464,17.02,63,62,2.05,NZ,1673993112
144,carnarvon,-24.8667,113.6333,23.79,72,2,7.37,AU,1673993113
145,bom jesus,-9.0744,-44.3586,26.17,57,100,1.98,BR,1673992926
146,mount isa,-20.7333,139.5,25.87,65,1,3.09,AU,1673993115
147,green river,41.5286,-109.4662,-1.78,65,98,0.45,US,1673993116
148,saskylakh,71.9167,114.0833,-35.36,100,64,3.09,RU,1673992955
149,ilulissat,69.2167,-51.1,-23.99,53,40,2.06,GL,1673993118
150,airai,-8.9266,125.4092,16.07,88,90,0.65,TL,1673992872
151,guarapari,-20.6667,-40.4975,26.05,87,9,3.9,BR,1673993121
